ákveðinn;172158;lo;aakuednum;ákveðnum;;0;URE;;;;1301-1500;EKTORS_SAGA
ákveða;434182;so;aakuednum;ákveðnum;;0;URE;;;;1301-1500;EKTORS_SAGA
álit;45642;hk;aaliti;áliti;ÞGFET;0;URE;;;;1401-1500;VIKTORS_SAGA
álíta;433784;so;aaliti;áliti;;0;URE;;;;1401-1500;VIKTORS_SAGA
álmur;6103;kk;aalmar;álmar;NFFT;0;URE;;;;1401-1500;VIKTORS_SAGA
alin;10172;kvk;aalna;álna;EFFT;0;URE;;;;1401-1500;VIKTORS_SAGA
álna;419439;so;aalna;álna;;0;URE;;;;1401-1500;VIKTORS_SAGA
ámátlegur;477023;lo;aamatligur;ámátlegur;FSB-KK-NFET;0;URE;;;;1401-1500;VIKTORS_SAGA
ár;495477;ao;aar;ár;OBEYGJANLEGT;0;URE;;;;1401-1500;VIKTORS_SAGA
á;12276;kvk;aar;ár;;0;URE;;;;1401-1500;VIKTORS_SAGA
ár;5535;kk;aar;ár;;0;URE;;;;1401-1500;VIKTORS_SAGA
ár;466;hk;aar;ár;;0;URE;;;;1401-1500;VIKTORS_SAGA
ár;10173;kvk;aar;ár;;0;URE;;;;1401-1500;VIKTORS_SAGA
ári;6916;kk;aara;ára;;0;URE;;;;1301-1500;EKTORS_SAGA
ár;5535;kk;aara;ára;;0;URE;;;;1301-1500;EKTORS_SAGA
ár;466;hk;aara;ára;EFFT;0;URE;;;;1301-1500;EKTORS_SAGA
ár;10173;kvk;aara;ára;EFFT;0;URE;;;;1301-1500;EKTORS_SAGA
ára;13795;kvk;aara;ára;;0;URE;;;;1301-1500;EKTORS_SAGA
ára;424454;so;aara;ára;;0;URE;;;;1301-1500;EKTORS_SAGA
áræði;416542;hk;aarédi;áræði;;0;URE;;;;1301-1500;EKTORS_SAGA
áræða;434523;so;aarédi;áræði;;0;URE;;;;1301-1500;EKTORS_SAGA
ár;466;hk;aarinu;árinu;ÞGFETgr;0;URE;;;;1401-1500;VIKTORS_SAGA
ásamt;495954;ao;aasamt;ásamt;OBEYGJANLEGT;0;URE;;;;1301-1500;EKTORS_SAGA
ásamt;495276;fs;aasamt;ásamt;OBEYGJANLEGT;0;URE;;;;1301-1500;EKTORS_SAGA
ásjáandi;114523;kk;áásiaunndum;ásjáendum;ÞGFFT;0;URE;;;;1301-1500;EKTORS_SAGA
ást;10433;kvk;aast;ást;;0;URE;;;;1590-1610;VILHJALMS_SAGA_SJODS
eta;433658;so;aast;ást;;0;URE;;;;1590-1610;VILHJALMS_SAGA_SJODS
éta;433627;so;aast;ást;;0;URE;;;;1590-1610;VILHJALMS_SAGA_SJODS
át;467;hk;aat;át;;0;URE;;;;1301-1500;EKTORS_SAGA
eta;433658;so;aat;át;;0;URE;;;;1301-1500;EKTORS_SAGA
éta;433627;so;aat;át;;0;URE;;;;1301-1500;EKTORS_SAGA
át;467;hk;aati;áti;ÞGFET;0;URE;;;;1401-1500;VIKTORS_SAGA
átt;10358;kvk;aatt;átt;;0;URE;;;;1401-1500;VIKTORS_SAGA
eiga;427488;so;aatt;átt;;0;URE;;;;1401-1500;VIKTORS_SAGA
átta;419458;so;aatti;átti;;0;URE;;;;1401-1500;VIKTORS_SAGA
eiga;427488;so;aatti;átti;;0;URE;;;;1401-1500;VIKTORS_SAGA
átta;13797;kvk;aattu;áttu;;0;URE;;;;1401-1500;VIKTORS_SAGA
eiga;427488;so;aattu;áttu;;0;URE;;;;1401-1500;VIKTORS_SAGA
afl;367;hk;abl;afl;;0;URE;;;;1790-1810;MARRONS_SAGA
afl;5594;kk;abl;afl;;0;URE;;;;1790-1810;FIMM_BRAEDRA_SAGA
afl;5594;kk;abl;afl;;0;URE;;;;1790-1810;MARRONS_SAGA
afl;367;hk;abl;afl;;0;URE;;;;1790-1810;FIMM_BRAEDRA_SAGA
afli;8828;kk;abla;afla;;0;URE;;;;1790-1810;FIMM_BRAEDRA_SAGA
afl;5594;kk;abla;afla;;0;URE;;;;1790-1810;FIMM_BRAEDRA_SAGA
afli;8828;kk;abla;afla;;0;URE;;;;1790-1810;MARRONS_SAGA
afl;367;hk;abla;afla;EFFT;0;URE;;;;1790-1810;FIMM_BRAEDRA_SAGA
afl;5594;kk;abla;afla;;0;URE;;;;1790-1810;MARRONS_SAGA
afl;367;hk;abla;afla;EFFT;0;URE;;;;1790-1810;MARRONS_SAGA
afla;424437;so;abla;afla;;0;URE;;;;1790-1810;MARRONS_SAGA
afla;424437;so;abla;afla;;0;URE;;;;1790-1810;FIMM_BRAEDRA_SAGA
aflaður;166995;lo;ablad;aflað;;0;URE;;;;1790-1810;MARRONS_SAGA
aflaður;166995;lo;ablad;aflað;;0;URE;;;;1790-1810;FIMM_BRAEDRA_SAGA
afla;424437;so;ablad;aflað;;0;URE;;;;1790-1810;FIMM_BRAEDRA_SAGA
afla;424437;so;ablad;aflað;;0;URE;;;;1790-1810;MARRONS_SAGA
aflaður;166995;lo;ablað;aflað;;0;URE;;;;1790-1810;FIMM_BRAEDRA_SAGA
aflaður;166995;lo;ablað;aflað;;0;URE;;;;1790-1810;MARRONS_SAGA
afla;424437;so;ablað;aflað;;0;URE;;;;1790-1810;FIMM_BRAEDRA_SAGA
afla;424437;so;ablað;aflað;;0;URE;;;;1790-1810;MARRONS_SAGA
afl;367;hk;abli;afli;ÞGFET;0;URE;;;;1790-1810;FIMM_BRAEDRA_SAGA
afl;367;hk;abli;afli;ÞGFET;0;URE;;;;1790-1810;MARRONS_SAGA
